Firstname,Surname,Phonenumber
grumpy,balloon,0084
acoustic,attention,7439
imminent,seat,8943
gaping,steel,0666
tough,pipe,5181
hallowed,earthquake,7452
voiceless,farm,7429
phobic,stitch,6015
tedious,table,5176
broad,glass,7020
absurd,pies,1191
narrow,sugar,5407
wooden,rifle,7909
melted,bucket,3863
unwieldy,war,9665
ad,popcorn,9479
soggy,mountain,4922
mundane,sticks,8843
lame,writer,4535
chubby,slope,9111
cowardly,metal,2668
gullible,sack,0123
stupid,screw,8458
belligerent,use,1076
scary,pleasure,4656
fair,event,1851
efficacious,icicle,0086
tacit,tree,2219
perpetual,pets,8272
satisfying,sack,3159
spotless,quill,2017
reflective,exchange,4727
tender,net,1451
auspicious,day,8005
hushed,plot,1227
married,governor,4088
colossal,hen,3254
wet,key,4917
fluffy,detail,4735
honorable,tax,9797
panicky,year,3298
tiresome,vest,4034
private,scent,3462
yielding,cellar,9833
first,engine,4119
recondite,roof,4783
brief,brick,6478
angry,tongue,7426
adhesive,credit,2620
bumpy,window,9158
hysterical,jump,3878
agreeable,moon,7026
afraid,sun,8798
heady,pigs,0913
infamous,collar,1685
addicted,attempt,6227
strange,nation,6472
aboard,bird,2925
efficacious,square,4819
miniature,toothpaste,1203
different,kitten,8144
faithful,dust,9587
toothsome,voyage,6223
wiggly,fuel,6284
yellow,week,6948
best,patch,9866
possessive,protest,1925
erect,cars,1943
energetic,milk,5166
glorious,horses,9978
elated,stem,7784
quirky,light,4455
cheerful,pull,7841
adaptable,earthquake,2947
equable,bite,6964
ragged,crate,9238
imported,wound,0983
abandoned,sheep,2559
gigantic,jail,7051
happy,crown,5926
alluring,burst,2567
stingy,spy,7709
sad,kite,9071
guiltless,plough,9485
upbeat,army,9177
crabby,snow,9113
beautiful,move,2827
silent,dog,1178
statuesque,sort,5789
frequent,metal,1917
arrogant,apples,6600
caring,lawyer,3150
vagabond,cats,4588
delicious,drop,5702
tame,vacation,5898
square,mouth,2383
powerful,ornament,6753
learned,umbrella,5390
high,frame,7869
noisy,afterthought,1163
absorbing,belief,6686
maddening,news,0970
ashamed,crack,3154
melted,spiders,8715
disgusted,zebra,6730
alert,park,2688
political,approval,6709
selective,border,4560
hurried,cable,0158
adorable,bridge,0913
slow,oatmeal,3612
pricey,salt,7231
past,hill,1933
annoying,wash,8573
hospitable,crush,6958
swanky,talk,8482
tangy,baseball,7136
likeable,power,7458
determined,lizards,5883
warlike,stomach,6670
adamant,air,6160
special,pig,6867
complete,goldfish,0412
faint,nation,4798
tremendous,moon,4076
noisy,suggestion,2814
elastic,growth,9847
young,fog,0876
waiting,crook,2930
knowing,sidewalk,2208
receptive,room,9242
uninterested,uncle,1454
smelly,base,7444
yellow,trouble,6789
ossified,comfort,3206
cumbersome,carriage,3508
wretched,cracker,0297
psychotic,dad,3664
breakable,destruction,4032
incredible,pail,0418
breezy,nose,6480
glorious,tail,8338
right,plastic,9873
intelligent,zebra,8687
tremendous,pipe,5467
foolish,instrument,6747
wealthy,mouth,4493
fearless,turn,6989
bitter,amount,6538
shivering,trick,2348
curly,grip,8766
parallel,jam,6659
absurd,baby,6071
accidental,size,7398
rich,pleasure,9965
mixed,observation,2858
tiresome,bone,6224
garrulous,flavor,2553
puffy,thrill,3509
lovely,screw,0793
tight,airplane,5743
green,attention,8812
frantic,pen,9468
screeching,action,0664
rough,vessel,4523
valuable,shame,4803
cut,quiet,6706
wild,frog,9823
foregoing,addition,2894
colorful,pleasure,9773
tender,houses,1457
ambiguous,fruit,8215
observant,color,2905
domineering,place,9461
humdrum,ear,0016
imaginary,hobbies,5012
grotesque,increase,0442
dark,island,2336
sudden,house,8207
debonair,rock,9009
parched,ladybug,3603
inquisitive,list,8036
funny,volcano,9972
free,lumber,6203
innate,sponge,2360
vacuous,question,9661
purple,humor,8539
charming,transport,5163
sleepy,caption,5995
wild,man,0044
fine,frogs,3149
oafish,error,1736
parched,neck,9499
weary,detail,3064
lush,rhythm,6289
shaggy,airport,7485
various,protest,6263
giant,cushion,5868
rustic,spoon,6673
vagabond,donkey,7062
dapper,lace,9379
vivacious,smoke,5446
luxuriant,stage,7929
breakable,linen,5822
fertile,drug,1839
interesting,part,9653
hysterical,spot,1927
sloppy,sleep,3082
wrong,throat,4293
scared,motion,5265
